Transaction_ID,Order_Date,Region,Category,Quantity,Unit_Price,Shipping_Cost
TXN-100135,06/01/2025 15:00,North,Office Supplies,4,399.69,49.22
TXN-100136,06/01/2025 16:00,North,Industrial Machinery,10,220.63,41.35
TXN-100137,06/01/2025 17:00,North,Office Supplies,19,181.87,36.94
TXN-100138,06/01/2025 18:00,East,Home Appliances,18,124.63,35.47
TXN-100139,06/01/2025 19:00,North,Industrial Machinery,5,278.03,31.42
TXN-100140,06/01/2025 20:00,West,Home Appliances,19,397.8,37.43
TXN-100141,06/01/2025 21:00,North,Office Supplies,16,156.57,23.99
TXN-100142,06/01/2025 22:00,West,Office Supplies,1,187.66,43.04
TXN-100143,06/01/2025 23:00,West,Home Appliances,12,192.18,36.34
TXN-100144,07/01/2025 00:00,West,Electronics,2,259.17,39.71
TXN-100145,07/01/2025 01:00,East,Office Supplies,8,114.74,40.66
TXN-100146,07/01/2025 02:00,East,Electronics,18,372.75,9.14
TXN-100147,07/01/2025 03:00,East,Office Supplies,16,143.94,7.5
TXN-100148,07/01/2025 04:00,North,Electronics,5,321.98,41.04
TXN-100149,07/01/2025 05:00,West,Electronics,13,238.49,16.67
TXN-100150,07/01/2025 06:00,East,Electronics,19,270.07,31.19
TXN-100151,07/01/2025 07:00,East,Home Appliances,3,93.54,24.97
TXN-100152,07/01/2025 08:00,North,Electronics,8,334.87,5.99
TXN-100153,07/01/2025 09:00,East,Electronics,12,97.46,6.81
TXN-100154,07/01/2025 10:00,North,Electronics,2,64.8,42.22
TXN-100155,07/01/2025 11:00,South,Office Supplies,11,253.03,32.35
TXN-100156,07/01/2025 12:00,East,Electronics,12,323.69,28.57
TXN-100157,07/01/2025 13:00,South,Office Supplies,18,37.24,47.5
TXN-100158,07/01/2025 14:00,North,Electronics,13,45.65,12.79
TXN-100159,07/01/2025 15:00,West,Electronics,5,364.26,16.61
TXN-100160,07/01/2025 16:00,East,Home Appliances,12,367.02,39.05
TXN-100161,07/01/2025 17:00,North,Office Supplies,2,122.08,39.89
TXN-100162,07/01/2025 18:00,West,Electronics,5,282.82,23.22
TXN-100163,07/01/2025 19:00,West,Office Supplies,7,208.06,47.79
TXN-100164,07/01/2025 20:00,South,Office Supplies,12,290.41,47.22
TXN-100165,07/01/2025 21:00,North,Industrial Machinery,16,390.42,5.56
TXN-100166,07/01/2025 22:00,West,Home Appliances,8,50.2,12.75
TXN-100167,07/01/2025 23:00,East,Home Appliances,9,353.53,41.91
TXN-100168,08/01/2025 00:00,East,Home Appliances,15,229.72,20.08
TXN-100169,08/01/2025 01:00,South,Industrial Machinery,5,260.61,9.3
TXN-100170,08/01/2025 02:00,West,Industrial Machinery,13,299.63,40.32
TXN-100171,08/01/2025 03:00,North,Home Appliances,5,416.38,25.46
TXN-100172,08/01/2025 04:00,East,Industrial Machinery,11,40.14,27.16
TXN-100173,08/01/2025 05:00,West,Industrial Machinery,10,28.31,13.39
TXN-100174,08/01/2025 06:00,West,Industrial Machinery,13,92.95,34.74
TXN-100175,08/01/2025 07:00,South,Home Appliances,9,444.11,29.81
TXN-100176,08/01/2025 08:00,East,Home Appliances,14,326.2,14.3
TXN-100177,08/01/2025 09:00,East,Home Appliances,18,282.56,20.31
TXN-100178,08/01/2025 10:00,North,Industrial Machinery,15,35.94,31.86
TXN-100179,08/01/2025 11:00,East,Home Appliances,10,397.47,46.62
TXN-100180,08/01/2025 12:00,North,Industrial Machinery,7,368.64,46.42
TXN-100181,08/01/2025 13:00,East,Electronics,8,304.36,17.96
TXN-100182,08/01/2025 14:00,South,Industrial Machinery,3,162.85,38.1
TXN-100183,08/01/2025 15:00,East,Office Supplies,15,46.13,39.9
TXN-100184,08/01/2025 16:00,North,Home Appliances,16,267.53,41.4
TXN-100185,08/01/2025 17:00,North,Home Appliances,4,328.21,30.68
TXN-100186,08/01/2025 18:00,South,Office Supplies,6,56.45,5.47
TXN-100187,08/01/2025 19:00,East,Industrial Machinery,1,290.87,39.28
TXN-100188,08/01/2025 20:00,East,Electronics,4,139.93,9.8
TXN-100189,08/01/2025 21:00,South,Office Supplies,11,347.56,10.26
TXN-100190,08/01/2025 22:00,East,Office Supplies,12,249.96,32.25
TXN-100191,08/01/2025 23:00,East,Industrial Machinery,5,71.57,49.26
TXN-100192,09/01/2025 00:00,North,Home Appliances,16,244.27,15.91
TXN-100193,09/01/2025 01:00,East,Industrial Machinery,13,187.45,34.06
TXN-100194,09/01/2025 02:00,East,Office Supplies,13,93.86,18.66
TXN-100195,09/01/2025 03:00,South,Office Supplies,17,381.14,45.44
TXN-100196,09/01/2025 04:00,South,Home Appliances,7,20.29,31.71
TXN-100197,09/01/2025 05:00,West,Home Appliances,8,151.12,14.34
TXN-100198,09/01/2025 06:00,North,Home Appliances,13,20.97,16.8
TXN-100199,09/01/2025 07:00,East,Industrial Machinery,16,57.22,24.46
TXN-100200,09/01/2025 08:00,East,Home Appliances,4,144.59,10.49
TXN-100201,09/01/2025 09:00,West,Office Supplies,8,39.08,8.54
TXN-100202,09/01/2025 10:00,East,Office Supplies,16,274.74,35.6
TXN-100203,09/01/2025 11:00,North,Electronics,10,53.24,23.32
TXN-100204,09/01/2025 12:00,West,Industrial Machinery,12,320.39,37.68
TXN-100205,09/01/2025 13:00,North,Electronics,12,38.37,9.95
TXN-100206,09/01/2025 14:00,West,Office Supplies,5,41.27,32.44
TXN-100207,09/01/2025 15:00,West,Electronics,16,148.16,24.95
TXN-100208,09/01/2025 16:00,South,Office Supplies,1,405.06,7.61
TXN-100209,09/01/2025 17:00,North,Electronics,9,294.19,29.52
TXN-100210,09/01/2025 18:00,East,Home Appliances,12,350.12,8.73
TXN-100211,09/01/2025 19:00,East,Electronics,5,77,42.25
TXN-100212,09/01/2025 20:00,North,Home Appliances,3,377.93,33.44
TXN-100213,09/01/2025 21:00,East,Home Appliances,5,19.04,30.06
TXN-100214,09/01/2025 22:00,East,Industrial Machinery,2,108.07,11.01
TXN-100215,09/01/2025 23:00,North,Home Appliances,14,283.19,17.94
TXN-100216,10/01/2025 00:00,West,Home Appliances,2,178.54,27.18
TXN-100217,10/01/2025 01:00,North,Electronics,13,443.13,33.5
TXN-100218,10/01/2025 02:00,West,Office Supplies,7,28.68,13.25
TXN-100219,10/01/2025 03:00,East,Industrial Machinery,10,449.39,5.4
TXN-100220,10/01/2025 04:00,East,Home Appliances,13,286.47,20.51
TXN-100221,10/01/2025 05:00,East,Industrial Machinery,16,258.26,26.73
TXN-100222,10/01/2025 06:00,South,Electronics,14,41.36,13.3
TXN-100223,10/01/2025 07:00,West,Home Appliances,11,134.26,27.15
TXN-100224,10/01/2025 08:00,South,Electronics,10,417.27,20.23
TXN-100225,10/01/2025 09:00,South,Industrial Machinery,6,169.42,25.48
TXN-100226,10/01/2025 10:00,North,Electronics,4,302.99,20.64
TXN-100227,10/01/2025 11:00,South,Industrial Machinery,1,449.78,33.28
TXN-100228,10/01/2025 12:00,North,Electronics,7,129.8,6.93
TXN-100229,10/01/2025 13:00,North,Industrial Machinery,9,265.81,12.69
TXN-100230,10/01/2025 14:00,South,Office Supplies,8,318.1,24.47
TXN-100231,10/01/2025 15:00,West,Electronics,5,87.03,21.03
TXN-100232,10/01/2025 16:00,West,Electronics,19,80.1,22.62
TXN-100233,10/01/2025 17:00,West,Office Supplies,10,213.77,41.17
TXN-100234,10/01/2025 18:00,West,Office Supplies,11,183.14,44.88
TXN-100235,10/01/2025 19:00,West,Electronics,15,325.83,16.19
TXN-100236,10/01/2025 20:00,South,Office Supplies,6,45.7,42.64
TXN-100237,10/01/2025 21:00,South,Home Appliances,15,437.91,25.65
TXN-100238,10/01/2025 22:00,East,Industrial Machinery,5,21.7,17.32
TXN-100239,10/01/2025 23:00,West,Industrial Machinery,19,276.77,49.35
TXN-100240,11/01/2025 00:00,South,Industrial Machinery,19,259.96,42.12
TXN-100241,11/01/2025 01:00,East,Home Appliances,10,74.03,49.74
TXN-100242,11/01/2025 02:00,West,Office Supplies,12,81.07,12.57
TXN-100243,11/01/2025 03:00,North,Office Supplies,4,359.92,11.47
TXN-100244,11/01/2025 04:00,East,Electronics,18,401.15,27.65
TXN-100245,11/01/2025 05:00,South,Office Supplies,16,138.47,33.74
TXN-100246,11/01/2025 06:00,North,Electronics,8,205.8,12.7
TXN-100247,11/01/2025 07:00,North,Home Appliances,4,169.75,43.72
TXN-100248,11/01/2025 08:00,North,Industrial Machinery,12,47.02,28.94
TXN-100249,11/01/2025 09:00,East,Industrial Machinery,2,308.01,23.49
TXN-100250,11/01/2025 10:00,South,Industrial Machinery,4,374.05,32.09
TXN-100251,11/01/2025 11:00,North,Office Supplies,5,147.97,33.57
TXN-100252,11/01/2025 12:00,West,Electronics,3,445.73,6.93
TXN-100253,11/01/2025 13:00,North,Electronics,9,48.46,50
TXN-100254,11/01/2025 14:00,North,Home Appliances,18,303.05,21.38
TXN-100255,11/01/2025 15:00,East,Office Supplies,11,210.26,7.77
TXN-100256,11/01/2025 16:00,East,Home Appliances,3,209.55,43.35
TXN-100257,11/01/2025 17:00,South,Electronics,2,214.35,49.69
TXN-100258,11/01/2025 18:00,West,Electronics,9,127.9,41.74
TXN-100259,11/01/2025 19:00,East,Industrial Machinery,14,326.41,43.33
TXN-100260,11/01/2025 20:00,North,Office Supplies,4,329.03,33.17
TXN-100261,11/01/2025 21:00,South,Electronics,9,138.2,46.5
TXN-100262,11/01/2025 22:00,North,Industrial Machinery,13,378.44,6.61
TXN-100263,11/01/2025 23:00,North,Office Supplies,18,153.17,39.5
TXN-100264,12/01/2025 00:00,East,Home Appliances,15,330.55,35.18
TXN-100265,12/01/2025 01:00,South,Office Supplies,10,68.07,7.23
TXN-100266,12/01/2025 02:00,West,Office Supplies,16,88.8,29.48
TXN-100267,12/01/2025 03:00,West,Electronics,12,152.71,28.18
TXN-100268,12/01/2025 04:00,East,Electronics,5,273.54,36.12
TXN-100269,12/01/2025 05:00,East,Office Supplies,2,295.97,8.49
TXN-100270,12/01/2025 06:00,South,Electronics,10,187.72,41.24
TXN-100271,12/01/2025 07:00,West,Electronics,1,49.32,11.27
TXN-100272,12/01/2025 08:00,West,Electronics,7,177.84,23.84
TXN-100273,12/01/2025 09:00,West,Industrial Machinery,17,314.77,44.66
TXN-100274,12/01/2025 10:00,North,Industrial Machinery,16,307.05,30.22
TXN-100275,12/01/2025 11:00,West,Office Supplies,3,85.11,22.08
TXN-100276,12/01/2025 12:00,North,Electronics,14,18.88,7.17
TXN-100277,12/01/2025 13:00,South,Industrial Machinery,10,342.67,35.25
TXN-100278,12/01/2025 14:00,North,Office Supplies,7,61.72,49.39
TXN-100279,12/01/2025 15:00,South,Electronics,17,51.28,46.03
TXN-100280,12/01/2025 16:00,West,Home Appliances,6,16.67,37.28
TXN-100281,12/01/2025 17:00,West,Electronics,4,203.47,9.74
TXN-100282,12/01/2025 18:00,South,Electronics,17,234.17,15.77
TXN-100283,12/01/2025 19:00,East,Industrial Machinery,9,292.57,13.41
TXN-100284,12/01/2025 20:00,South,Office Supplies,4,144.14,21
TXN-100285,12/01/2025 21:00,East,Office Supplies,7,324.18,15.6
TXN-100286,12/01/2025 22:00,North,Industrial Machinery,2,89.07,16
TXN-100287,12/01/2025 23:00,North,Electronics,17,377,32.75
TXN-100288,13/01/2025 00:00,North,Home Appliances,8,263.97,19.34
TXN-100289,13/01/2025 01:00,West,Electronics,15,269.2,35.47
TXN-100290,13/01/2025 02:00,North,Electronics,15,106.65,47.66
TXN-100291,13/01/2025 03:00,East,Home Appliances,8,47.7,33.73
TXN-100292,13/01/2025 04:00,North,Industrial Machinery,16,217.42,38.82
TXN-100293,13/01/2025 05:00,South,Office Supplies,19,282.98,38.82
TXN-100294,13/01/2025 06:00,South,Industrial Machinery,11,56.8,19.88
TXN-100295,13/01/2025 07:00,West,Industrial Machinery,2,428.51,5.67
TXN-100296,13/01/2025 08:00,South,Electronics,17,441.49,7.48
TXN-100297,13/01/2025 09:00,East,Office Supplies,16,252.5,17.69
TXN-100298,13/01/2025 10:00,North,Office Supplies,15,428.31,36.03
TXN-100299,13/01/2025 11:00,West,Industrial Machinery,13,93.47,45.8
TXN-100300,13/01/2025 12:00,North,Home Appliances,15,26.55,48.15
TXN-100301,13/01/2025 13:00,North,Industrial Machinery,4,32.62,6.16
TXN-100302,13/01/2025 14:00,East,Home Appliances,16,270.77,49.55
TXN-100303,13/01/2025 15:00,South,Office Supplies,12,42.28,19.51
TXN-100304,13/01/2025 16:00,South,Industrial Machinery,4,431.99,42.93
TXN-100305,13/01/2025 17:00,North,Electronics,3,77.17,13.11
TXN-100306,13/01/2025 18:00,West,Industrial Machinery,17,147.9,7.83
TXN-100307,13/01/2025 19:00,South,Office Supplies,18,372.88,22.03
TXN-100308,13/01/2025 20:00,West,Electronics,18,110.54,43.65
TXN-100309,13/01/2025 21:00,South,Electronics,17,121.07,14.94
TXN-100310,13/01/2025 22:00,West,Home Appliances,12,294.58,11.93
TXN-100311,13/01/2025 23:00,East,Electronics,4,135.46,45.94
TXN-100312,14/01/2025 00:00,West,Electronics,12,109.98,47.23
TXN-100313,14/01/2025 01:00,East,Industrial Machinery,15,125.94,5.56
TXN-100314,14/01/2025 02:00,East,Office Supplies,16,228.69,37.73
TXN-100315,14/01/2025 03:00,West,Home Appliances,5,435.27,18.91
TXN-100316,14/01/2025 04:00,East,Industrial Machinery,15,377.11,21.86
TXN-100317,14/01/2025 05:00,North,Electronics,17,139.16,26.11
TXN-100318,14/01/2025 06:00,East,Electronics,18,173.39,24.21
TXN-100319,14/01/2025 07:00,South,Home Appliances,5,217.33,28.17
TXN-100320,14/01/2025 08:00,West,Office Supplies,13,440.84,31.21
TXN-100321,14/01/2025 09:00,North,Home Appliances,19,90.4,25.95
TXN-100322,14/01/2025 10:00,West,Industrial Machinery,13,170.83,36.57
TXN-100323,14/01/2025 11:00,South,Home Appliances,18,332.44,37.34
TXN-100324,14/01/2025 12:00,South,Electronics,14,434.33,24.82
TXN-100325,14/01/2025 13:00,South,Industrial Machinery,4,83.14,11.41
TXN-100326,14/01/2025 14:00,East,Electronics,4,114.3,33.83
TXN-100327,14/01/2025 15:00,East,Office Supplies,19,113.56,39.78
TXN-100328,14/01/2025 16:00,West,Electronics,13,24.59,33.71
TXN-100329,14/01/2025 17:00,West,Electronics,12,277.99,31.46
TXN-100330,14/01/2025 18:00,North,Home Appliances,7,306.92,15.32
TXN-100331,14/01/2025 19:00,North,Electronics,12,277.3,34.03
TXN-100332,14/01/2025 20:00,West,Industrial Machinery,4,46.49,20.07
TXN-100333,14/01/2025 21:00,East,Industrial Machinery,2,45.58,46.38
TXN-100334,14/01/2025 22:00,South,Office Supplies,2,106.91,34.42
TXN-100335,14/01/2025 23:00,West,Industrial Machinery,5,141.63,17.52
TXN-100336,15/01/2025 00:00,North,Home Appliances,10,357.25,26.28
TXN-100337,15/01/2025 01:00,East,Office Supplies,10,84.76,43.1
TXN-100338,15/01/2025 02:00,West,Industrial Machinery,9,34.66,20.1
TXN-100339,15/01/2025 03:00,West,Home Appliances,13,186.69,28.64
TXN-100340,15/01/2025 04:00,East,Industrial Machinery,7,196.42,35.59
TXN-100341,15/01/2025 05:00,West,Industrial Machinery,5,211.42,38.95
TXN-100342,15/01/2025 06:00,East,Electronics,10,374.79,12.83
TXN-100343,15/01/2025 07:00,South,Industrial Machinery,10,58.08,30.43
TXN-100344,15/01/2025 08:00,East,Industrial Machinery,6,321.36,46.05
TXN-100345,15/01/2025 09:00,East,Home Appliances,19,162.34,48.58
TXN-100346,15/01/2025 10:00,East,Home Appliances,8,150.19,34.53
TXN-100347,15/01/2025 11:00,West,Electronics,1,420.69,49.26
TXN-100348,15/01/2025 12:00,West,Industrial Machinery,17,123.46,30.68
TXN-100349,15/01/2025 13:00,East,Electronics,7,294.68,24.92
TXN-100350,15/01/2025 14:00,West,Industrial Machinery,14,135.04,29.82
TXN-100351,15/01/2025 15:00,North,Office Supplies,17,235.85,10.21
TXN-100352,15/01/2025 16:00,North,Office Supplies,9,357.14,23.08
TXN-100353,15/01/2025 17:00,West,Electronics,17,398.61,25.63
TXN-100354,15/01/2025 18:00,West,Electronics,5,379.91,43.19
TXN-100355,15/01/2025 19:00,East,Electronics,8,268.46,39.14
TXN-100356,15/01/2025 20:00,South,Home Appliances,6,123.61,32.06
TXN-100357,15/01/2025 21:00,West,Home Appliances,11,302.81,20.63
TXN-100358,15/01/2025 22:00,North,Home Appliances,19,323.95,13.42
TXN-100359,15/01/2025 23:00,East,Electronics,4,20.15,20.65
TXN-100360,16/01/2025 00:00,West,Industrial Machinery,18,206.34,35.59
TXN-100361,16/01/2025 01:00,North,Office Supplies,1,381.9,16.84
TXN-100362,16/01/2025 02:00,North,Electronics,13,228.23,24.21
TXN-100363,16/01/2025 03:00,South,Home Appliances,14,150.79,22.4
TXN-100364,16/01/2025 04:00,East,Home Appliances,1,394.3,39.45
TXN-100365,16/01/2025 05:00,East,Electronics,11,83.23,44.77
TXN-100366,16/01/2025 06:00,South,Electronics,17,105.2,36.47
TXN-100367,16/01/2025 07:00,South,Home Appliances,4,314.16,20.37
TXN-100368,16/01/2025 08:00,East,Industrial Machinery,12,168.63,24.49
TXN-100369,16/01/2025 09:00,East,Home Appliances,10,325.31,11.45
TXN-100370,16/01/2025 10:00,West,Home Appliances,6,84.02,12.56
TXN-100371,16/01/2025 11:00,West,Electronics,1,125.11,12.39
TXN-100372,16/01/2025 12:00,South,Industrial Machinery,7,83.56,10.88
TXN-100373,16/01/2025 13:00,West,Home Appliances,16,429.54,13.08
TXN-100374,16/01/2025 14:00,North,Home Appliances,14,191.65,14.12
TXN-100375,16/01/2025 15:00,West,Office Supplies,6,162.02,10.03
TXN-100376,16/01/2025 16:00,West,Electronics,5,21.67,33.81
